tweet_id,timestamp,url,text,rating_numerator,rating_denominator,rating_ratio,name,doggo,floofer,pupper,puppo,retweet_count,favorite_count,p1,p1_conf,p2,p2_conf,p3,p3_conf
892420643555336193,2017-08-01 16:23:56+00:00,https://t.co/MgUWQ76dJU,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 ,13,10,1.3,Phineas,False,False,False,False,7491.0,35483.0,,0.0970486,,0.08585110000000001,,0.07611
892177421306343426,2017-08-01 00:17:27+00:00,https://t.co/0Xxu71qeIV,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 ",13,10,1.3,Tilly,False,False,False,False,5559.0,30705.0,Chihuahua,0.323581,Pekinese,0.0906465,papillon,0.0689569
891815181378084864,2017-07-31 00:18:03+00:00,https://t.co/wUnZnhtVJB,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 ,12,10,1.2,Archie,False,False,False,False,3681.0,23088.0,Chihuahua,0.716012,malamute,0.078253,kelpie,0.0313789
891689557279858688,2017-07-30 15:58:51+00:00,https://t.co/tD36da7qLQ,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us ,13,10,1.3,Darla,False,False,False,False,7669.0,38774.0,,0.17027799999999998,Labrador_retriever,0.168086,,0.0408359
891327558926688256,2017-07-29 16:00:24+00:00,https://t.co/AtUZn91f7f,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek ",12,10,1.2,Franklin,False,False,False,False,8273.0,37039.0,basset,0.555712,English_springer,0.22577,German_short-haired_pointer,0.175219
891087950875897856,2017-07-29 00:08:17+00:00,https://t.co/kQ04fDDRmh,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek ,13,10,1.3,None,False,False,False,False,2770.0,18675.0,Chesapeake_Bay_retriever,0.425595,Irish_terrier,0.116317,,0.07690219999999999
890971913173991426,2017-07-28 16:27:12+00:00,https://t.co/tVJBRMnhxl,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H ",13,10,1.3,Jax,False,False,False,False,1799.0,10857.0,Appenzeller,0.34170300000000003,Border_collie,0.199287,,0.193548
890729181411237888,2017-07-28 00:22:40+00:00,https://t.co/v0nONBcwxq,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 ,13,10,1.3,None,False,False,False,False,16780.0,59811.0,Pomeranian,0.566142,Eskimo_dog,0.17840599999999998,Pembroke,0.0765069
890609185150312448,2017-07-27 16:25:51+00:00,https://t.co/9TwLuAGH0b,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek ,13,10,1.3,Zoey,False,False,False,False,3824.0,25690.0,Irish_terrier,0.487574,Irish_setter,0.193054,Chesapeake_Bay_retriever,0.118184
890240255349198849,2017-07-26 15:59:51+00:00,https://t.co/t1bfwz5S2A,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate ,14,10,1.4,Cassie,True,False,False,False,6513.0,29342.0,Pembroke,0.511319,Cardigan,0.451038,Chihuahua,0.0292482
890006608113172480,2017-07-26 00:31:25+00:00,https://t.co/dVPW0B0Mme,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek ,13,10,1.3,Koda,False,False,False,False,6517.0,28263.0,Samoyed,0.957979,Pomeranian,0.0138835,chow,0.00816748
889880896479866881,2017-07-25 16:11:53+00:00,https://t.co/u1XPQMl29g,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy ,13,10,1.3,Bruno,False,False,False,False,4435.0,25713.0,French_bulldog,0.377417,Labrador_retriever,0.151317,,0.0829811
889665388333682689,2017-07-25 01:55:32+00:00,https://t.co/BxvuXk0UCm,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 ,13,10,1.3,None,False,False,False,True,8890.0,44199.0,Pembroke,0.966327,Cardigan,0.0273557,basenji,0.00463323
889638837579907072,2017-07-25 00:10:02+00:00,https://t.co/f8dEDcrKSR,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist ,12,10,1.2,Ted,False,False,False,False,3973.0,24854.0,French_bulldog,0.99165,boxer,0.00212864,Staffordshire_bullterrier,0.00149818
